Leaf No.,410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm,Avg Total Chlorophyll (µg/cm2),leaf
91,0.1409840497431738,0.0672791377948815,0.0796094571407353,0.0553789831249373,0.0732394191463361,0.120110273386103,0.1079911581485699,0.080328943447947,0.0878573215531884,0.0657660366883342,0.1277295057605902,0.1513628318584071,0.4863655913978494,0.4848721037341458,0.3904331377640986,0.4557543567177777,0.4320126676099993,0.3939511740009329,63.203385913333335,mango
92,0.1409840497431738,0.0825723787385022,0.1047297429343089,0.0618904077153551,0.0882632078456184,0.133267893318853,0.1058342822694085,0.0834396043144032,0.0904973204998222,0.0720349765203914,0.1204391685169321,0.1631858407079646,0.4630537634408602,0.4727556153900659,0.3707800327017409,0.4314071374571113,0.4232531500572737,0.3864095786036386,75.80318785333333,mango
93,0.1795079751284131,0.1080536987398369,0.1269147035946984,0.0806232753831722,0.1211269702439659,0.2004030826423842,0.1612700113872329,0.1164412132769203,0.1135002040896941,0.0803858520900321,0.1496354831378171,0.2106902654867256,0.552516129032258,0.5333380571104656,0.3988650572280465,0.4645937930098668,0.4408058756148508,0.4091121132016794,38.13202518,mango
94,0.1666666666666666,0.0968423628335316,0.1197385958123737,0.0716620980447512,0.1145517365440323,0.2047889559533008,0.1655837631455556,0.1176807103271557,0.1029402083031587,0.0772398158643503,0.1386912358607668,0.2017699115044247,0.517505376344086,0.5030114079217742,0.3960757910935847,0.4734526140306667,0.4342025469981807,0.4014927693982273,38.53463331333333,mango
95,0.1666666666666666,0.1009131455137972,0.120391324570352,0.0757328767747047,0.1154946002444002,0.2004030826423842,0.1526291111259963,0.1120791371193611,0.1033187617680751,0.0824677878276157,0.1277295057605902,0.1899469026548672,0.4824946236559139,0.4666619428895345,0.3792119521656888,0.4424758175509333,0.4363924263863621,0.4091121132016794,43.409857503333335,mango
96,0.1538253582049202,0.0825723787385022,0.1047297429343089,0.0659611864453085,0.1004708115451178,0.1811731166851151,0.1555094112130752,0.1126988856444788,0.0953987649281735,0.0772398158643503,0.1240930785503243,0.1869734513274336,0.4786236559139785,0.460639127045986,0.3904331377640986,0.4579642157908,0.4298227882218179,0.4014927693982273,43.66111464666667,mango
97,0.1538253582049202,0.0876664182673592,0.1040770141763305,0.0594497618548908,0.0863836834955431,0.1511455483385894,0.1252729586710429,0.0952624992551099,0.0938911346070286,0.0772398158643503,0.1386912358607668,0.1987964601769911,0.5680860215053763,0.5575710337986254,0.3988650572280465,0.4645937930098668,0.418873391280911,0.3939511740009329,67.50378754,mango
98,0.1538253582049202,0.0825723787385022,0.0995118214259191,0.0675913193147977,0.097183194695151,0.1612696058979553,0.1303101346372831,0.0965139145462129,0.0953987649281735,0.0751578801267667,0.1423276630710327,0.1721061946902654,0.4824946236559139,0.4787784312336144,0.3792119521656888,0.440265958477911,0.4254430294454551,0.3939511740009329,58.02233383,mango
99,0.1538253582049202,0.0805258650413195,0.0897208900562441,0.0659611864453085,0.0877917759954345,0.1383273114596604,0.1223926585839641,0.0921518383886538,0.0882358750181047,0.0741169122579749,0.1149670448784069,0.1602123893805309,0.4396989247311827,0.4424289662013746,0.3707800327017409,0.4380560994048889,0.4320126676099993,0.4014927693982273,61.942167516666665,mango
100,0.1538253582049202,0.0764550823610539,0.0887437511969951,0.0627009207063302,0.076055604146119,0.1261826194106221,0.1324670105164445,0.1102079733031404,0.0765468023753407,0.0939415670036318,0.1149670448784069,0.1899469026548672,0.4980645161290322,0.5091050804223057,0.3763906255009458,0.4380560994048889,0.4100801832760596,0.3864095786036386,70.41529162666666,mango
1,0.1281427412814274,0.1182417777975508,0.1680248896810227,0.0985365231724753,0.1638473801415536,0.2253712328481025,0.0734275571036238,0.080328943447947,0.1429121624290623,0.0814268199588239,0.1094949212398818,0.1187256637168141,0.392989247311828,0.3454262027917523,0.3342630887114872,0.3738926473724,0.2675358803315141,0.3106048825999067,24.128911523333333,rice
2,0.1538253582049202,0.1080536987398369,0.1481225253958389,0.1074885936233573,0.1727673669910862,0.2486529103402184,0.0799115814856989,0.0965139145462129,0.2228494871423492,0.1064794466677462,0.1423276630710327,0.1424424778761062,0.4396989247311827,0.3757528519804435,0.3342630887114872,0.3561943900595111,0.2587763627787885,0.3106048825999067,8.262535663,rice
3,0.1154366044876993,0.121300425986275,0.1810755562851525,0.1009771690329396,0.1680778606918882,0.2233453770806792,0.2606202692745663,0.2559203861510041,0.2662152553754592,0.1941520738393208,0.1770135841535691,0.2908318584070796,0.3463225806451613,0.3090767377595125,0.353916193773845,0.3716827882993778,0.3771983020012128,0.4014927693982273,8.058497402666667,rice
4,0.1538253582049202,0.1172296433060094,0.1605204632419903,0.1319223728906171,0.1995335305903443,0.2550594181408074,0.1807086877888673,0.213574876348251,0.332955877124837,0.2045848851465451,0.1843039213972272,0.2522477876106195,0.4046881720430107,0.3515198752922837,0.3820332788304318,0.3982204819043557,0.3355232127215147,0.3864095786036386,4.119555461333333,rice
5,0.1281427412814274,0.1274177223637233,0.1951072703039683,0.0879452129645651,0.1563354857919124,0.2243583049643908,0.2159823162971398,0.1780823550443954,0.1606350481256665,0.1179532258437622,0.1624154268431266,0.2373805309734513,0.365763440860215,0.3272868986041238,0.3455163348401783,0.3849613274662221,0.3925611481706085,0.3939511740009329,22.37215188,rice
6,0.1538253582049202,0.121300425986275,0.1706358047129361,0.1131895052228,0.1882625875405524,0.259445291451724,0.0748744055194587,0.0834396043144032,0.2439661869461598,0.0991695389668972,0.1624154268431266,0.1364955752212389,0.400774193548387,0.3454262027917523,0.3398736815106922,0.3606141082055557,0.2368438784448487,0.287902348001866,6.642405665333334,rice
7,0.1281427412814274,0.1182417777975508,0.1712885334709144,0.1083082135018714,0.1802792613407274,0.2341429794699358,0.150472235246835,0.1793218520946308,0.2737566987504444,0.1680584792616068,0.1624154268431266,0.2284601769911504,0.3618924731182795,0.3151704102600439,0.367990766567279,0.3915909046852889,0.3267636951687891,0.3712486394028922,6.802617245333333,rice
8,0.1666666666666666,0.1264055878721818,0.1765103635347411,0.131102753012103,0.2107982705894759,0.2746287671518974,0.0741509813115413,0.0853107681306239,0.2707381463388942,0.118994193712554,0.1970838651025367,0.1364955752212389,0.400774193548387,0.3454262027917523,0.3230419031130775,0.3296373117258224,0.2302742402803045,0.287902348001866,3.1912899953333334,rice
9,0.1281427412814274,0.1274177223637233,0.1967371379211956,0.0977169032939612,0.1619740588421385,0.2334694346400451,0.2282269408533726,0.2335021750789583,0.2726243301249555,0.1837192625320965,0.1879578314306194,0.2789380530973451,0.400774193548387,0.3454262027917523,0.3736013593664839,0.3982204819043557,0.3684387844484872,0.4091121132016794,6.970479356666666,rice
10,0.0897539875642065,0.0591264500773003,0.0655777431219195,0.0537488502554482,0.0798146528462697,0.1703807355736095,0.1742246634067921,0.099624575412669,0.1327307201074433,0.059497096856277,0.1660518540533925,0.1987964601769911,0.365763440860215,0.2545171118826613,0.2050591516783687,0.1703529959098222,0.2302742402803045,0.1742341781993469,21.4643025,rice
11,0.1154366044876993,0.1223236828348663,0.1902098503414123,0.0846940541131257,0.1445993139425969,0.2081671226582569,0.2282269408533726,0.2148143733984863,0.2183265961789142,0.1555437322167989,0.1733596741201769,0.2552212389380531,0.3463225806451613,0.3090767377595125,0.3398736815106922,0.3672436854246225,0.3706286638366687,0.3939511740009329,12.31811558,rice
12,0.1409840497431738,0.1111123469285611,0.1641124256885897,0.0773630096441939,0.1380302832933236,0.2321171237025124,0.0698372295532185,0.0740957034741672,0.1210416474646793,0.0761988479955585,0.1113131348450147,0.1098053097345132,0.4474838709677419,0.3878693403245234,0.269661120194928,0.2986605152460891,0.2478269658378815,0.2954439433991603,17.773013289999998,rice
